Name,Start Date,Tickets Available,Currency Type,Lowest Ticket Price,Highest Ticket Price,Ticket Limit,Seatmap,Promoter,Venue,Venue URL,Please Note
Writers Night with Special Guest Bobby Tomberlin - hosted by Steve Goodie,2/9/2025,2025-02-03T14:00:00Z,USD,4.86,4.86,,,,The Bluebird Cafe,https://www.ticketweb.com/venue/the-bluebird-cafe-nashville-tn/503035,"***Please note, when you make a reservation at The Bluebird Cafe, you are agreeing to the following terms & conditions: • All ticket reservations are non-refundable. • Ticket reservations at The Bluebird Cafe are an agreement to pay the non-refundable cover charge and applicable taxes/fees and to meet the $12.00 per seat food and/or drink minimum. • If you are a “no show”, we reserve the right to charge your credit card for the $12.00 minimum for each seat in your reservation. • Ticket reservations are for your personal use. They are NOT transferrable and NOT for resale! We perform random I.D. checks and the name on the reservation must match the name on the I.D. • Please call (615-383-1461) or email (info@bluebirdcafe.com) to cancel your reservation AT LEAST 24 hours in advance. PLEASE NOTE if your reservations are for a Saturday or Sunday evening show, you need to cancel by 9:00 a.m. the Friday before or risk being charged. • Attendees are expected to show up by the start of the show for which they have tickets. Seats that are unclaimed once the show has started will be seated from the walk-up line. • Performers are subject to change. • Bar seats are only for customers 21 years of age or older. • Any guest under the age of 18 must be seated with a parent or guardian. • We require accessible seat requests to be made two weeks in advance of the show date for guaranteed accessible seats. If you made a reservation outside of that window using our online system, please call The Bluebird Cafe during office hours and we will do our best to accommodate your needs. Please know that if you reserved outside of the two week window, accessible seats are not guaranteed. • The Bluebird Cafe is a listening room. If you do not honor our SHHHH! policy (being quiet while the performers are on stage) you may be asked to leave. • No outside food and/or drink is allowed inside the venue. • Still photography is allowed, unless the artist requests otherwise. • RECORDING COPYRIGHTED MATERIAL (VIDEO OR AUDIO) IS PROHIBITED. • Parking is limited. We suggest for ticket holders to use rideshare apps such as Uber or Lyft for your visit, if possible. For those wanting to park, we have a small lot directly in front of the cafe and a larger gravel lot behind the cafe. To access our gravel lot, please use the alley entrance on Hillsboro Pike next to AT&T. Please do not utilize our neighbors’ parking lots, as they enforce towing and do NOT park at AT&T. All guests must enter and check in through our main entrance on Hillsboro Pike. • For the safety and comfort of all our guests, Bluebird Cafe management has the right to refuse service to anyone who is aggressive, hostile or appears to be intoxicated."
Indoorsmen / Something In The Shadows / Color To Use / Dusk By Five,2/9/2025,2024-12-05T16:10:00Z,USD,10,10,,,,Burlington Bar,https://www.ticketweb.com/venue/burlington-bar-chicago-il/280144,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. Please note any age restriction above, you must present valid ID in order to gain admittance the night of the show. No refunds. Avoid long will call lines and choose to get your tickets mailed."
Take Another Little Piece of My Heart - An intimate evening with Pamela Des Barres ,2/9/2025,2024-03-14T19:00:00Z,USD,43.7,414.5,,,,Whisky A Go Go,https://www.ticketweb.com/venue/whisky-a-go-go-west-hollywood-ca/209695,ALL SALES ARE FINAL!!
"Tails From The Local Band: A Live Podcast & Show featuring Stereo Ontario, Moth Season & Turismo Blu",2/9/2025,2025-01-20T17:00:00Z,USD,8.21,8.21,,,,Vultures,https://www.ticketweb.com/venue/vultures-colorado-springs-co/503285,
URBAN HEAT,2/9/2025,2024-12-12T18:00:00Z,USD,18,18,,,,Valley Bar,https://www.ticketweb.com/venue/valley-bar-phoenix-az/462065,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"Reverend Horton Heat, Black Joe Lewis, Pinata Protest",2/9/2025,2024-10-17T17:00:00Z,USD,30,30,,,,Yucca North,https://www.ticketweb.com/venue/yucca-north-flagstaff-az/498485,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
*SOLD OUT* CupcakKe / J Bambii,2/9/2025,2024-12-20T19:00:00Z,USD,0,0,,,,Empty Bottle,https://www.ticketweb.com/venue/empty-bottle-chicago-il/10103,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. Make sure to bring a valid ID"
Condition One/ Natural Human Instinct/ Rule of Thumb/ Opposing Force/ As My Ashes Blur The Sky,2/9/2025,2025-01-12T19:20:00Z,USD,17.45,17.45,,,,Neck of the Woods,https://www.ticketweb.com/venue/neck-of-the-woods-san-francisco-ca/521375,
Jayo,2/9/2025,2025-01-05T05:00:00Z,USD,0,0,,,,Lil' Indies,https://www.ticketweb.com/venue/lil-indies-orlando-fl/494795,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Reggae Sunday: Jahgun and Justifyah,2/9/2025,2025-01-16T21:00:00Z,USD,12.83,25.69,,,,Ivan'z House at Mozambique,https://www.ticketweb.com/venue/ivanz-house-at-mozambique-laguna-beach-ca/399795,
MINIKISS with Frank Furter & The Hot Dogs and Portland Elvis,2/9/2025,2024-12-13T18:00:00Z,USD,25,25,,,,Dante's,https://www.ticketweb.com/venue/dantes-portland-or/21124,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Lazer Dim 700 - Keepin It Cloudy Tour,2/9/2025,2024-10-11T20:20:00Z,USD,22.5,22.5,There is an 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0900614BBB46411F/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,The Echo,https://www.ticketmaster.com/the-echo-tickets-los-angeles/venue/74716,Doors: 7PM | Show: 8PM | All Ages | *All times and supporting acts may be subject to change at any time without notice* |
Alain Whyte,2/9/2025,2024-12-20T20:00:00Z,USD,20,20,,https://mapsapi.tmol.io/maps/geometry/3/event/09006192FEBE45C5/staticImage?type=png&systemId=HOST,,The Moroccan Lounge,https://www.ticketmaster.com/the-moroccan-lounge-tickets-los-angeles/venue/74796,
Porridge Radio with Mildred,2/9/2025,2024-08-02T17:00:00Z,USD,22.5,22.5,There is an 4 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/090060FDBC1D6F1E/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Echoplex,https://www.ticketmaster.com/echoplex-tickets-los-angeles/venue/74535,Doors: 7PM | Show: 8PM | All Ages | *All times and supporting acts may be subject to change at any time without notice* |
lou deezi,2/9/2025,2024-10-11T17:00:00Z,USD,30,30,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0A006141270B67B5/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Voodoo Room at the House of Blues San Diego,https://www.ticketmaster.com/voodoo-room-at-the-house-of-tickets-san-diego/venue/82846,"Doors: 7PM Show: 8PM All ages welcome. All persons under the age of 18 must be accompanied by a parent, guardian, or by a responsible adult 25 years of age or older who has written authorization from a parent or guardian. This performance will be in the Voodoo Room at House of Blues San Diego. *All times and supporting acts are subject to change without notice."
Soul of Motown,2/9/2025,2024-11-29T18:00:00Z,USD,44.99,74.99,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1700617B04D44D0B/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Westgate Las Vegas Resort & Casino,https://www.ticketmaster.com/westgate-las-vegas-resort-casino-tickets-las-vegas/venue/188945,"Unfortunately, the Event Organizer has had to cancel your event. You don't need to do a thing. We'll issue a refund to the original method of payment used at time of purchase, as soon as funds are received from the Event Organizer. It should appear on your account within 14-21 days. Please Note: If the tickets were transferred to you, the refund will go to the fan who originally purchased the tickets from Ticketmaster. Please see our Purchase Policy for more information."
The Afro Latin Jazz Octet,2/9/2025,2024-11-06T17:00:00Z,USD,35.46,45.76,,,,Birdland Jazz Club,https://www.ticketweb.com/venue/birdland-jazz-club-new-york-ny/426135,
"Superbowl Afterparty with Dylxn Earl & TOOK4GRANTE at Harvard & Stone (Los Angeles, CA)",2/9/2025,2025-02-06T18:00:00Z,USD,0,0,,,SEAN HEALY PRESENTS,Harvard & Stone,https://www.ticketweb.com/venue/harvard--stone-los-angeles-ca/521365,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. ALL SALES FINAL. NO REFUNDS/EXCHANGES. COVID-19 WARNING: An inherent risk of exposure to COVID-19 exists in any place where people gather. COVID-19 is an extremely contagious disease that can lead to severe illness and death. You assume all risks, hazards, and dangers arising from or relating in any way to the risk of contracting a communicable disease or illness—including, without limitation, exposure to COVID-19 or any other bacteria, virus, or other pathogen capable of causing a communicable disease or illness, whether that exposure occurs before, during, or after the event, and regardless of how caused or contracted—and you hereby waive any and all claims and potential claims against Sean Healy Presents, Ticketweb, The Concert Venue, and any additional Event Organizer(s) —and against any companies affiliated with Sean Healy Presents, Ticketweb, The Concert Venue, and any additional Event Organizer(s) —relating to such risks, hazards, and dangers."
Benjamin Booker,2/9/2025,2024-10-18T17:00:00Z,USD,20,20,,,,Madame Lou's,https://www.ticketweb.com/venue/madame-lous-seattle-wa/497135,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. All sales are final. There are no refunds unless the event is cancelled or postponed Opening Acts are subject to change or cancelation at any time without notice. No refund will be owed if an Opening Act is changed or canceled. Doors times subject to change Tickets may not be resold or offered for resale. If we suspect tickets have been purchased for resale purposes only, we reserve the right to void or cancel the tickets without refund. Tickets obtained from unauthorized sources may be invalid, lost, stolen or counterfeit and if so, are void."
Miguel Crandell's Oh LA Tour (Birthday Bash Celebration),2/9/2025,2025-01-10T19:30:00Z,USD,15.39,26.69,,,SEAN HEALY PRESENTS,Harvard & Stone,https://www.ticketweb.com/venue/harvard--stone-los-angeles-ca/521365,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. ALL SALES FINAL. NO REFUNDS/EXCHANGES. COVID-19 WARNING: An inherent risk of exposure to COVID-19 exists in any place where people gather. COVID-19 is an extremely contagious disease that can lead to severe illness and death. You assume all risks, hazards, and dangers arising from or relating in any way to the risk of contracting a communicable disease or illness—including, without limitation, exposure to COVID-19 or any other bacteria, virus, or other pathogen capable of causing a communicable disease or illness, whether that exposure occurs before, during, or after the event, and regardless of how caused or contracted—and you hereby waive any and all claims and potential claims against Sean Healy Presents, Ticketweb, The Concert Venue, and any additional Event Organizer(s) —and against any companies affiliated with Sean Healy Presents, Ticketweb, The Concert Venue, and any additional Event Organizer(s) —relating to such risks, hazards, and dangers."
Superbowl Sunday: Live Music & Drinks at Harvard & Stone,2/9/2025,2025-01-27T20:30:00Z,USD,0,0,,,SEAN HEALY PRESENTS,Harvard & Stone,https://www.ticketweb.com/venue/harvard--stone-los-angeles-ca/521365,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. ALL SALES FINAL. NO REFUNDS/EXCHANGES. COVID-19 WARNING: An inherent risk of exposure to COVID-19 exists in any place where people gather. COVID-19 is an extremely contagious disease that can lead to severe illness and death. You assume all risks, hazards, and dangers arising from or relating in any way to the risk of contracting a communicable disease or illness—including, without limitation, exposure to COVID-19 or any other bacteria, virus, or other pathogen capable of causing a communicable disease or illness, whether that exposure occurs before, during, or after the event, and regardless of how caused or contracted—and you hereby waive any and all claims and potential claims against Sean Healy Presents, Ticketweb, The Concert Venue, and any additional Event Organizer(s) —and against any companies affiliated with Sean Healy Presents, Ticketweb, The Concert Venue, and any additional Event Organizer(s) —relating to such risks, hazards, and dangers."
Sunday Night Bluegrass featuring Josh Cole Band,2/9/2025,2024-06-01T21:45:00Z,USD,10,10,,,,The Showdown,https://www.ticketweb.com/venue/the-showdown-portland-or/533425,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
